fullId,category,wnsynset,wnlemmas,up,front,unit,aligned.dims,isContainerLike,surfaceVolume,solidVolume,supportSurfaceArea,weight,staticFrictionForce,name,tags
wss.10b43623dbc8ab25ad5067eac75a07f7,Bench,n3896948,park bench,,,0.018521765442784603,"136.6034\,40.515064\,37.120396",false,0.015301,0.021043,0.022323,9.1806,55.7813256,forms surfaces reg  backless trio trade  bench  fsc certified ip eacute  wood slats,"architectural,architecture,bench,benches,forms,forms and surfaces,formsandsurfaces,furniture,ipe,landscape,sbtro,seating,site,site furniture,six foot,surfaces,trio,wood,wooden"
wss.10b81dfbb3ba3e8835836c728d324152,Mirror,n3778568,mirror,"0\,0\,1","0.5\,-0.8660253882408142\,0",0.022995213936384457,"105.37619\,104.75241\,7.7590923",true,0.019753,0.048624,0.014801,,,kare       mirror italian baroque silver   x    spiegel italian baroque silver   x,"design,dining room,esszimmer,flur,hall,kare,lifestyle,living room,mirror,speisezimmer,spiegel,trendy,wohnen"
wss.10be2b59cbb7d62399f293951bd5fd3c,"_StanfordSceneDBModels,PersonStanding",n5224944,person,"0\,0\,1","1\,0\,0",0.01813831619830647,"43.282158\,128.88705\,76.841156",false,0.011852,0.039548,0.002231,,,man,"boy,dude,human,male,man,people,person,teen,young man"
wss.10c484963692d3c87d40405e5ee68b4f,"ChestOfDrawers,Dresser",n3018908,"chest of drawers,chest,bureau,dresser",,,0.027929985470468082,"107.53044\,161.29567\,64.23897",true,0.072847,0.096684,0.019372,43.7082,265.5710232,neo series   drawer chest,"architecture,chest,dresser,furniture"
wss.10c706f946fa0f3ea3056fa1e8da3997,"WallArt,Picture",n3937282,"picture,image,icon,ikon","0\,0\,1","1\,0\,0",0.2715493215568115,"114.39287\,78.04382\,9.621834",true,0.019808,0.05929,0.112455,23.999874842475514,549.367372170127,picture,*
wss.10d174a00639990492d9da2668ec34c,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","1\,0\,0",0.021162245391788986,"57.416134\,105.995895\,56.436745",false,0.01179,0.02006,0.005417,13.965155089182,139.02995081169317,haworth  zody  sze       ma,"executive chair,executive office seating,executive seating,haworth,office chair,office seating,task chair,task seating,zody"
wss.10d3d5961e00b2133ff038bc77759685,Bottle,n2879899,bottle,,,0.03276279290762662,"10.89127\,34.645996\,10.89127",true,2.76E-4,0.002591,0.00452,0.6231806415551999,9.861090450104383,absolut mandarin,"absolut,alcohol,avs,design,vodka"
wss.10dbd3853ac93147a616caf97d73fa02,TV,n4413042,"television receiver,television,television set,tv,tv set,idiot box,boob tube,telly,goggle box","0\,0\,1","0\,-1\,0",0.010197364501455343,"72.91145\,79.572586\,22.689133",false,0.007226,0.032108,0.092906,17.92292949029088,121.32879721128486,detailed plasma,"detail,detailed,plasma,sketchgamer,television,tv,widescreen"
wss.10de9af4e91682851e5f7bff98fb8d02,"Chair,Recliner",n3005231,chair,"0\,0\,1","0\,-1\,0",0.028278186020868342,"104.62929\,96.976074\,106.759766",false,0.045537,0.639134,0.056487,53.938190610354596,536.9810746490308,arm chair coupe leather,"architecture,arm,chair,furniture,seating"
wss.10eb10fe18126d45b97ad864945165a1,"Bookcase,3Shelves",n2874241,bookcase,,,0.03796168812238953,"106.29274\,144.25441\,45.554066",true,0.064141,0.107167,0.025656,47.853391992196556,535.4775004588505,shaker book shelves,"popular woodworking,woodwork"
wss.10eef2596b7d3a80afa3b1b4d906a5ac,TrashBin,n2750182,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin",,,0.02290540606793223,"55.5227\,55.797573\,58.67305",true,0.005401,0.096426,0.243965,,,compost bin,"bin,compost,garden,landscape"
wss.10fb3744be2144e3cb2a965e75be701c,TrashBin,n2750182,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin",,,0.025873248658395197,"46.810863\,72.4451\,46.87408",true,0.008461,0.01229,0.009706,,,series ash urn,"ash urn,campus furniture,dumor,landscape architecture,landscape furniture,mall furniture,outdoor ash urn,outdoor furnishings,outdoor furniture,park,park furnishings,park furniture,site furnishings,site furniture,steel furniture,street furnishings,street furniture"
wss.1101146651cd32a1bd09c0f277d16187,"Bed,LoftBed",n3969146,platform bed,,,0.09091426495070569,"209.10281\,218.19424\,113.64829",false,0.27614,0.852027,0.027896,167.45412809184,1493.633471447,american girl   poster bed,"american girl,americangirl,bed,doll"
wss.110ddaf4740511d59a1974f504647073,Books,n6422547,book,"0\,0\,1","-1\,0\,0",0.013930588703272994,"53.028168\,19.920742\,12.307739",false,0.002786,0.008485,0.037364,,,my books,*
wss.111720e8cd4c613492d9da2668ec34c,"Chair,OfficeSideChair",n2741540,armchair,"0\,0\,1","1\,0\,0",0.00278257877536969,"74.71224\,117.221695\,81.73589",false,0.02297,0.075574,0.004361,27.207770347626003,270.8666641344014,haworth composites guest chair,"chair,composites,guest chair,haworth,office chair,stacking chair,stool,task chair"
wss.11183af410a81c186f525e79a05bbcb3,"Book,_OIMwhitelist",n6422547,book,"0\,1\,0","0\,0\,1",0.007758052916975944,"46.595505\,35.26254\,4.0174294",true,0.001247,0.004541,0.164532,0.8729,1.710884,book,*
wss.111cb08c8121b8411749672386e0b711,Chair,n3005231,chair,"0\,0\,1","0\,-1\,0",0.024690821696728663,"95.79794\,98.10305\,85.065765",false,0.009021,0.011382,0.004112,10.685298054241802,106.3773694887434,butterfly chair w  fabric pattern,"architecture,butterfly,chair,furniture,livingspace,room,seating"
wss.1129a07c75f5a709cf004563556ddb36,"Lamp,FloorLamp",n3371905,floor lamp,,,0.016714976195681918,"26.322744\,136.22287\,108.252556",true,0.004093,0.004915,0.057423,8.798595035516382,87.13686781287385,kare       floor lamp gooseneck purple  sl gooseneck purple,"bogen,design,kare,kare design,lamp,lampe,leuchte,light,lila,stylish,trendy"
wss.11358c94662a68117e66b3e5c11f24d4,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","1\,0\,0",0.02922577012374603,"74.89104\,96.67563\,71.23781",false,0.016376,0.022721,0.008557,19.397233226500806,193.10894609773436,modern office chair,"chair,modern,modern chair,modern office chair,office,office chair,red,red chair"
wss.11448f34681c545439f3410d5f76299b,"Computer,Laptop",n3648120,"laptop,laptop computer","0\,0\,1","0\,1\,0",0.01894671998223832,"37.4198\,28.874233\,43.222015",false,0.001705,0.006144,0.102039,,,jvc mp x p     laptop,"berlin,box,cat,cave,cavemen,china,circuits,company,computer,cyrix,dumb,factory,flame,fruit,funny,ghz,gigahertz,good,hong,hp,ic,imac,integrated,intel,iphone,jackson,japan,japanese,jvc,kebabman,kong,laptop,look,mac,manh,medigo,medigoflame,men,michael,micintoch,micro,microproccessor,microprocessor,modeler,moscow,notebook,paris,pc,personal,phat,phatcat,potato,proccessor,processor,proffesional,shanghai,sony,stupid,tags,technology,tokyo,tsingtao,vaio,video,xeon,xord,yeah,zheijiang,zxt"
wss.114509277e76e413c8724d5673a063a6,"Bottle,WineBottle,_Attributes",n4599016,wine bottle,,,0.0329887886113581,"9.484277\,39.174187\,9.484277",true,2.94E-4,0.002144,0.006716,0.6638228573088,10.504205044676407,wine bottle     ml   option,"bor,botella,bottiglia,bouteille,red,red wine,rouge,tinto,vin,vino,wine bottle"
wss.114f65a1635af7f862237730c52678c5,"_StanfordSceneDBModels,MilkCarton,FoodItem",n7860018,milk,"0\,0\,1","1\,0\,0",0.03357101728650751,"12.429434\,35.553722\,9.066626",false,4.16E-4,0.003555,0.011457,,,milk,*
wss.115136d967aafb7d58a311513e993aad,"Counter,Oven",n3868196,oven,,,0.02431545783214789,"137.99022\,87.535645\,122.185165",true,0.101605,1.462334,1.651238,271.1621591579649,9410.697162442075,wood set counter top stove,"component,counter,kitchen,kitchen set,stove"
wss.11525a18678f7ce6ae1e1181f20bb9c8,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","-1\,0\,0",0.0019432893738695082,"65.377106\,95.54862\,65.59125",false,0.010994,0.028535,0.00847,13.022299834645201,129.64336549819808,silla oficina,"chair,office,office chair,oficina,silla,silla oficina"
wss.1152a5db0db892286c52446b30bba6c,Fireplace,n3351301,"fireplace,hearth,open fireplace","0\,0\,1","1\,0\,0",0.029630164945133434,"213.33807\,163.10576\,72.594025",true,0.158487,0.858317,1.295613,273.1961810992392,4187.1748764685735,fireplace,"fireplace,hearth,mantel"
wss.1165e8de3cee9f706314698551cd43b,"Lamp,TableLamp",n3641940,lamp,,,7.620527437897655E-4,"45.555798\,49.800148\,45.55574",true,0.001763,0.003538,0.079515,3.78986636882858,37.532933778181416,lamp,furniture
wss.1166c209e067833ea44b6af22454453b,Rug,n4125115,"rug,carpet,carpeting",,,0.04344282305025592,"129.71548\,3.5990727\,249.8175",false,0.127513,0.127513,3.266709,229.52339999999998,1574.5305239999998,rug,*
wss.116bcb3b43de74b9df9054bbcf5c6adc,"Chair,Recliner",n3005231,chair,"0\,0\,1","1\,0\,0",0.02733207794451356,"98.39548\,112.72295\,96.58587",,,,,,,arm chair,"armchair,bedroom,chair,furniture,living room"
wss.1178a3589bdbaf19ed0d804498912ba8,ArcadeMachine,n2155643,game,"0\,0\,1","-1\,0\,0",0.029764533348132973,"69.98981\,199.85812\,110.30349",false,0.179458,1.076575,0.601928,,,baby pac man arcade game,arcade
wss.118083b82350b53cb23e7e4bd2944793,"Monitor,_Attributes",n3787723,"monitor,monitoring device","0\,0\,1","0\,-1\,0",0.03653833142238307,"68.50937\,62.57189\,33.965816",false,0.00651,0.030266,0.075743,,,dell     lcd monitor   model number     wp,"computer,dell,display,lcd,monitor,pc,screen"
wss.118886a00679ffc9322ed2ef5fc90e25,LightSwitch,n4033499,"push button,push,button",,,0.06984653064268931,"19.207796\,31.430939\,12.659683",false,3.9E-4,0.003233,4.7E-4,0.379993939104,3.9220128595677117,old fashioned push button light switch,"antique,double e,light switch,old,vintage"
wss.119ddb219f69b1cc492d9da2668ec34c,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","0\,-1\,0",0.0019849779624218655,"63.13977\,97.06463\,65.67121",false,0.008616,0.01609,0.004543,10.2055789862928,101.60153148376153,haworth x   task guest chair x,"desk chair,executive chiar,haworth,office,office chair"
wss.11b1afefc63ce066b7390053af83c864,"WallArt,Picture",n3937282,"picture,image,icon,ikon","0\,0\,1","0\,-1\,0",0.0025869790955289442,"85.79617\,109.06209\,3.6969738",true,0.008076,5.07E-4,0.007405,9.785086289773439,223.98479895223886,picture of ronald reagan for shoguns openning challenge       for black and white photoes,"bluexwingpilot,picture,shogun"
wss.11b54e1530c17829ec4bb690ca24962,OutdoorTable,n4386330,table,"0\,0\,1","0\,-1\,0",0.014770719867696857,"121.441315\,31.594273\,121.64057",false,0.021966,0.02354,0.00596,18.42774397936668,219.00463296148473,srt      smarties,"buy,chalkboard,cheap,dining furniture,dining tables,display,easel,education board,educational chairs,educational folding tables,educational furniture,educational mobile folding tables,educational supplies,educational tables,felt noticeboard,folding dining furniture,folding furniture,folding table,folding tables,interactive whiteboard,manufacturer,mobile dining furniture,mobile folding furniture,mobile folding table,mobile folding tables,mobile furniture,mobile seating unit,mobile table,mobile tables,noticeboard,office,rollerboard,school,school folding tables,school mobile folding tables,school mobile tables,school tables,teaching,university,value,whiteboard"
wss.11b722334fe272e2b7802e8eb74a6704,"Bed,QueenBed",n2821967,bed,"0\,0\,1","0\,1\,0",0.026127256689297183,"193.36287\,88.82615\,242.27075",false,0.395008,1.763525,0.012539,239.536902402048,2136.5871307645994,smurf theme bed,"bed,mathias,smurf,smurfs,theme"
wss.11d2b7d8c377632bd4d8765e3910f617,TrashBin,n2750182,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin","0\,0\,1","-1\,0\,0",0.01626542220883501,"50.722748\,71.770256\,43.69738",true,0.011905,0.028265,0.010469,,,mlwr        trash container,"garbage bin,litter bin,maglin,outdoor furniture,recycled content,site furniture,sustainable,trash container"
wss.11d5e99e8faa10ff3564590844406360,"Couch,_EvalSetWithPrior,_EvalSetExclude",n4263630,"sofa,couch,lounge",,,0.02121014509747718,"238.48116\,119.3041\,106.18329",false,0.24509,1.739514,0.15829,388.25985392132714,3686.5047618419167,couch,"bed,comfort,couch,cushion,furniture,trampoline"
wss.11e98db089a66426ad5067eac75a07f7,Bench,n3896948,park bench,,,0.014224830322551646,"136.5591\,39.91829\,37.921265",false,0.018034,0.024674,0.037561,10.820400000000001,65.74475040000002,forms surfaces reg    foot backed pacifica trade  bench  short back  freestanding  no armrests,"architectural,architecture,bench,benches,forms,forms and surfaces,formsandsurfaces,furniture,landscape,pacifica,sbpac,seating,site,site furniture,surfaces"
wss.11f1511799d033ff7962150cab9888d6,Chair,n2741540,armchair,"0\,0\,1","0\,-1\,0",0.02996171525575971,"77.89123\,111.29875\,87.00614",false,0.032122,0.067937,0.011341,38.0482367917476,378.7888108543858,modirondak chair,"adirondak,chair,make,rietveld,woodworking"
wss.11fa9b044482814ef91663a74ccd2338,"Chair,OfficeChair,rankChairs",n3005231,chair,"0\,0\,1","0\,-1\,0",0.023110616111702238,"69.521706\,92.00691\,66.43808",false,0.009391,0.023834,0.005425,11.1235599187878,110.74048075255394,reply task chair   mesh back   without arms by steelcase,"office chair,seating,steelcase"
wss.12193ca7bef40d40a84aed1cd93567b2,"Table,AccentTable",n4386330,table,"0\,0\,1","0\,-1\,0",0.04787414489946007,"98.01003\,90.09387\,75.3923",false,0.016789,0.042588,0.016592,14.08464871481322,167.38909144998482,leather top wine table,"bevan funnell,leather top table,occasional furniture,wine table"
wss.1221201ed6aac041745b4b48c30a506e,Camera,n4576349,webcam,,,0.08230388409065129,"8.269244\,18.124144\,11.146662",false,7.4E-5,2.32E-4,7.7E-4,,,webcam microsoft,"canones,maxime,mcp,microsoft,paradis,webcam"
wss.12238fe70f20f94613048bc4381266fe,"MediaStorage,WallUnit",n4556408,wall unit,,,0.01998901860822595,"263.85504\,143.92093\,48.47337",true,0.259151,1.034203,1.305365,,,entertainment center console,"center,console,entertainment,hd,samsung,tv,widescreen"
wss.1223b9275d2a2edacd4833986a6efe96,Table,n4386330,table,"0\,0\,-1","0\,-1\,0",0.02452530883427128,"101.24048\,84.80615\,79.1333",false,0.028597,0.057316,0.80876,23.990630728305064,285.1167936264946,end table,*
wss.122c2614d9b5b0bc3a00cfa3e3cb7dc5,TrashBin,n2750182,"ashcan,trash can,garbage can,wastebin,ash bin,ash-bin,ashbin,dustbin,trash barrel,trash bin",,,0.0029563062520557284,"71.5426\,58.76812\,64.22575",true,0.007046,0.00274,0.215993,,,mesh bin,"bin,mesh,rubbish"
wss.123c5debc3bed09f1fdc97905708b8ea,PersonStanding,n5224944,person,"0\,0\,1","-1\,0\,0",0.018137544582223768,"55.330826\,129.48438\,47.891678",,,,,,,rune armour,"adelar,advanced,armadura,armour,arms,azul,blue,boots,cape,colors,full helm,game,gloves,gods,guth,guthix,helm,helmet,jogo,kiteshield,legs,man,platebodies,platebody,platelegs,purple,rune,runescape,runite,sara,saradomin,scheidt,set,trimmed,warrior,wood,zammy,zamorak"
wss.1271008cb91e253bad5067eac75a07f7,Bench,n2832068,bench,,,0.014734169721096074,"141.44803\,28.73163\,29.099985",false,0.013864,0.01308,0.016852,8.3184,50.54259840000001,forms surfaces reg  backless knight trade  bench            armrests,"architectural,architecture,armrests,backless,bench,benches,eight foot,forms,forms and surfaces,formsandsurfaces,furniture,ipe,knight,landscape,sbkni,seating,site,site furniture,surfaces,wood,wooden"
wss.1276e45e4c314c39e70ce0944e08d28e,PottedPlant,n17402,"plant,flora,plant life",,,0.02605878608356116,"50.841576\,118.99796\,47.200333",true,0.011989,0.047701,0.037424,19.8825576,111.608190624,vaso com galhos   vase,*
wss.127a3b72784f610c5decd231aa7179c0,Gun,n3706725,machine gun,"0\,0\,1","1\,0\,0",0.0026997422648730217,"28.139145\,24.304295\,110.60012",false,0.004166,0.008974,0.00112,,,pink m,"battle,firearm,gun,machine,usa,vietnam,war,weapon"
wss.127aff49c9378499ae685ca100c909e8,"Lamp,TableLamp",n3641940,lamp,,,0.019870685326451858,"45.97063\,49.054165\,45.97063",true,0.002864,0.013175,0.037011,6.15665188901024,60.972389302729205,desk lamp,indonesia
wss.1285f0a36d2836ba9b426f5f965c4d47,"Lamp,TableLamp",n4387620,table lamp,,,0.00469825164248717,"39.133102\,62.640335\,34.227234",true,0.002389,0.011737,0.040187,5.13555913507174,50.85999931711596,table lamp,"bedside,lamp,light,table lamp"
wss.12917ced4d5465c5f08b8467bda831,"ChestOfDrawers,DresserWithMirror,Dresser",n3018908,"chest of drawers,chest,bureau,dresser",,,0.01861161478028482,"85.61344\,163.78221\,52.577755",true,0.033886,0.045242,0.006876,20.331599999999998,123.5348016,drawer dresser with mirror,"architecture,chest,dresser,furniture,mirror,traditional"
wss.12a73cdd42517d8f65331068961955c9,"Bed,ChildBed",n2821967,bed,,,0.044682860793090126,"260.35675\,125.780464\,140.73358",false,0.316101,0.576441,0.04882,191.686888331856,1709.7813933434784,bed for a child   kinderbett,"bed for a child,bett,cot,crib,kinderbett,werkzeichnung"
wss.12aa829de18f4e6ad5cb6d178687b980,"Lamp,TableLamp",n4387620,table lamp,,,0.03257833094016648,"38.478264\,60.539337\,38.478264",true,0.001437,0.004082,0.029997,3.0890742892834204,30.592640861739486,poul henningsen   frac      frac    table lamp,"glass lamp,lamp,louis poulsen,modern lamp,ph,ph lamp,poul henningsen,table lamp"
wss.12c0b15c8ed8a3edb039d8689a74349,"Lamp,TableLamp",n3641940,lamp,,,0.08999084818904957,"38.47109\,60.54692\,38.47109",true,0.002657,0.008202,0.037232,5.71167041518862,56.565516193209326,mini desk lamp  podium,"desk,furniture,home,house,lamp,light,lighting,living room,mini,podium,shade,table,wood,wooden"
wss.12c1b3fa24cce3e75745b9fe8da12812,Monitor,n3787723,"monitor,monitoring device","0\,0\,1","0\,-1\,0",0.04751840126310036,"70.15498\,62.78844\,29.932838",false,0.007444,0.027072,0.097509,,,acer monitor,"acer,monitor,screen"
wss.12c3a4561242a6fe840045f49392aafa,Cabinet,n2936496,cabinet,"0\,0\,1","1\,0\,0",9.31510044918425E-4,"156.73459\,83.09144\,38.940285",true,0.101298,0.452364,0.469154,68.09688271277892,673.3126287659228,supermarket cabinet frozen food with doors,*
wss.12d44fd814bc9b40ec2a7a1f5fe7365d,"Lamp,DeskLamp",n3641940,lamp,"0\,0\,1","1\,0\,0",0.024840488703352936,"11.923435\,50.49053\,71.62929",true,5.9E-4,9.78E-4,0.004509,1.2683046838394,12.560652824235417,desklamp modefied,"arm,desk,kt,lamp"
wss.12d643221a3edaa4ab361b6be63163da,Vase,n4529463,vase,,,0.014406787200314691,"45.181133\,48.802414\,45.181087",true,0.004228,0.022526,0.003053,10.007739117697998,252.76152846059443,vaso     vase,"pot,pots,vase,vases,vaso,vasos"
wss.12d66fb050f08f66de266657cf7d5a9a,TV,n4413042,"television receiver,television,television set,tv,tv set,idiot box,boob tube,telly,goggle box","0\,0\,1","1\,0\,0",0.0018572812122917928,"95.469635\,53.226147\,14.672522",false,0.007625,0.013438,0.08122,18.912584744460002,128.02824228287398,philips lcd    pf,"breedbeeld,breedbeeldtelevisie,crystalclear,hd ready,hdready,lcd,philips,tv"
wss.12df0535bb43633abdd9b7a602ec35ec,Table,n4386330,table,"0\,0\,1","0\,-1\,0",0.02144124550969749,"67.50426\,68.79767\,120.0939",false,0.014939,0.020039,0.021479,12.53264441900022,148.94428716250664,table,table brazilian table from etna
wss.12eedf28d9a948556c1cd53dbc9f7b8e,"Gun,_AttributesTrain",n4093385,"revolver,six-gun,six-shooter","0\,0\,1","-1\,0\,0",0.05913390128120249,"12.480394\,43.921585\,107.378006",false,0.005786,0.010459,0.004645,,,american firearms game master  copy emag,"firearm,gun,halo,hunting,pistol,revolver,scope,shooting,sniper,weapon"
wss.12f1e4964078850cc7113d9e058b9db7,"Cabinet,Sideboard",n2915411,"buffet,counter,sideboard",,,0.016796444257427694,"158.71336\,64.37924\,44.51985",true,0.040711,0.22649,0.005689,27.367689313904936,270.5999173694395,buffet,"buffet,cupboard,dining room,furniture"
wss.12f4d8c20ef311d988dcbe86402c7c15,"Chair,Recliner,rankChairs",n3005231,chair,"0\,0\,1","0\,-1\,0",0.029213139995674386,"109.54928\,103.56993\,94.99264",false,0.056647,0.362449,0.004468,67.0978914619926,667.9923344893965,rowe piccadilly chair,"armchair,chair,rowe,side chair,traditional,transitional,upholstery"
wss.1308f3ff2e55eae4f1783a44a88d6274,"Chair,_StanfordSceneDBModels,_OIMwhitelist",n4338415,"straight chair,side chair","0\,0\,1","0\,-1\,0",0.028041680029089484,"58.326744\,99.39598\,63.510582",,0.0112768,0.0112768,0.0043416,,,edo dining chair,"chair,dining,dining room,furniture,moser,seating,thos"
wss.130efc1031fe4450dc8c9a9abc47eed5,"Lamp,WallLamp",n4155768,sconce,,,0.032872452798288106,"82.80243\,51.189026\,42.020874",true,0.004226,0.008826,5.44E-4,9.08450100661916,89.96833700884554,sconce modified,wall sconce
